Relay Height,Gain,m,n,Time Delay,Amplitude,Time Period,Estimated m,Estimated n
1,5,7,5,8,4.612,24.524,5.545159046,4.781712391
1,4,6,8,6,2.152,20.407,3.731998107,7.394379323
1,2,10,4,7,2.204,23.439,9.07770323,4.110322232
1,4,10,1,7,14.73,21.777,10.21021949,1.079643174
1,6,7,2,2,6.011,12.933,7.273380096,2.160322208
1,1,8,5,6,0.8362,20.927,7.231493683,4.937076505
1,3,10,10,5,1.295,19.446,8.314661309,9.119625603
1,8,6,4,6,7.719,19.596,5.289238653,3.861744204
1,3,7,4,8,3.154,24.015,5.782581682,4.011719471
1,5,10,6,8,4.258,26.149,8.404699728,5.841887616
1,8,9,1,2,18.49,15.953,8.95185075,0.991318675
1,8,8,2,6,14.83,19.83,7.741635269,2.050524373
1,8,9,4,6,8.593,21.175,8.556867158,3.907435536
1,6,7,4,4,4.869,16.024,6.528032427,4.001395326
1,5,9,1,5,17.79,18.995,8.867924841,1.078107396
1,2,2,1,5,3.224,13.119,1.832801283,1.12039771
1,1,8,4,2,0.4705,12.038,8.665827749,4.481501691
1,7,5,3,4,6.625,14.905,4.755659602,3.170123729
1,5,6,2,5,7.642,17.066,5.737823849,2.180682588
1,7,5,1,6,17.19,16.822,4.859330276,1.08781877
1,8,6,3,8,9.345,22.892,4.808955319,3.220588047
1,6,9,1,3,17.54,16.975,8.711297433,1.054183889
1,2,9,4,7,2.412,23.012,8.684595791,3.644703125
1,3,9,1,4,11.056,18.198,8.935121279,0.982683066
1,7,3,3,8,7.05,21.482,1.41164612,3.105748591
1,3,8,4,4,2.513,16.581,7.546373659,4.005083328
1,2,9,1,7,6.673,20.805,8.801431978,1.081690363
1,3,10,2,8,6.007,23.999,9.949911052,2.103273578
1,5,6,2,2,4.686,11.906,5.994675809,2.239998992
1,5,10,2,2,5.675,14.327,8.928614261,1.966784075
1,5,9,1,2,11.56,15.953,8.951038033,0.990997096
1,1,6,1,6,2.74,17.352,5.62033131,1.057840476
1,1,6,3,4,1.021,15.476,5.664583841,3.067246629
1,8,9,5,7,7.073,23.329,7.644252313,5.084749842
1,1,8,1,2,2.26,14.273,7.011603441,0.986730346
1,7,7,5,4,4.653,15.923,6.328849105,4.854087531
1,5,9,5,5,3.6,19.143,8.129024504,5.374437744
1,7,7,2,5,11.64,17.743,6.762395637,2.119211834
1,7,2,2,5,7.55,14.192,1.49143488,2.13417546
1,1,9,4,3,0.6717,15.084,9.211859986,4.317958718
1,6,8,2,6,11.12,19.83,7.7411364,2.050985372
1,7,3,1,3,15.32,11.16,2.938285465,1.026103486
1,3,3,2,5,3.575,14.886,2.531479763,2.171638136
1,6,3,1,5,11.79,13.938,2.908069845,1.11477857
1,2,3,1,5,3.931,13.938,2.908581876,1.114494984
1,5,4,2,8,6.515,21.051,3.227825012,2.240661776
